Arquivo;Dataset;Base Usada;Economia (%);ssim;psnr;Clusters Max;Tamanho Original (KB);Tamanho FoL (KB);Tempo (s)
00000001_(2).jpg;paisagens;1.05;55.02;0.9592220502554959;39.563220033880285;117;650.88;292.75;0.0311
00000001_(3).jpg;paisagens;1.05;49.6;0.9669699080510641;36.11691943009956;116;1034.14;521.21;0.0308
00000002_(5).jpg;paisagens;1.05;55.79;0.9427022422718565;39.12026677362083;114;388.8;171.88;0.0155
00000002_(6).jpg;paisagens;1.05;44.71;0.9684666371754765;38.315051224147794;117;198.83;109.94;0.0054
00000004_(2).jpg;paisagens;1.05;63.97;0.9459963117027663;33.61803402693256;117;367.0;132.23;0.0123
00000004_(3).jpg;paisagens;1.05;51.98;0.9357494960832615;33.125550462923364;117;644.15;309.32;0.0404
00000005_(5).jpg;paisagens;1.05;62.08;0.9330551476112653;34.69250110375374;117;355.05;134.65;0.0183
00000005_(6).jpg;paisagens;1.05;47.6;0.9670515023521461;37.33298948604129;117;705.4;369.6;0.0199
00000007_(2).jpg;paisagens;1.05;44.53;0.9882112884550277;41.35714911751723;117;717.53;398.01;0.0207
00000007_(3).jpg;paisagens;1.05;43.76;0.9577778157971435;37.41543049463808;117;306.22;172.23;0.0155
00000008_(5).jpg;paisagens;1.05;58.85;0.9562128763078489;37.19133118320452;117;595.82;245.18;0.0156
00000008_(6).jpg;paisagens;1.05;42.0;0.9875447097022589;40.379823105203755;117;1501.82;871.08;0.0354
00000010_(2).jpg;paisagens;1.05;61.9;0.9450831004618024;37.52955742506411;117;324.07;123.45;0.0127
00000010_(3).jpg;paisagens;1.05;47.9;0.9587314966966624;37.255197890501336;117;503.11;262.12;0.0187
00000011_(5).jpg;paisagens;1.05;47.64;0.9493714650104103;33.343457169309325;117;333.93;174.85;0.0165
00000011_(6).jpg;paisagens;1.05;54.46;0.9643884621346216;38.972495783217454;117;592.81;269.99;0.019
00000013.jpg;paisagens;1.05;59.92;0.940675366080843;35.48738693489487;117;343.82;137.81;0.0137
00000013_(2).jpg;paisagens;1.05;57.51;0.953706588429879;37.335743071331954;117;391.19;166.22;0.0148
00000014_(4).jpg;paisagens;1.05;45.79;0.9646610836198564;40.11101461305661;116;290.87;157.68;0.0101
00000014_(5).jpg;paisagens;1.05;61.18;0.9461134699787692;36.88374695957735;117;426.48;165.57;0.0123
